Date,Open,High,Low,Close,Adj Close,Volume
2018-07-06,77.419998,78.080002,77.370003,77.949997,68.005768,341000
2018-07-09,78.370003,78.660004,78.250000,78.339996,68.346024,439300
2018-07-10,78.379997,78.559998,78.150002,78.440002,68.433266,325000
2018-07-11,78.099998,78.500000,77.489998,77.610001,67.709145,328700
2018-07-12,78.230003,78.550003,77.860001,78.370003,68.372200,281400
2018-07-13,78.379997,78.480003,78.050003,78.360001,68.363472,226000
2018-07-16,78.360001,79.019997,78.360001,78.839996,68.782227,257100
2018-07-17,78.800003,78.870003,78.419998,78.559998,68.537956,237900
2018-07-18,78.690002,79.050003,78.599998,78.970001,68.895660,274400
2018-07-19,78.680000,78.839996,78.010002,78.139999,68.171532,266200
2018-07-20,78.839996,79.029999,78.610001,78.970001,68.895660,251400
2018-07-23,78.900002,79.160004,78.730003,79.120003,69.026520,215100
2018-07-24,79.129997,79.650002,78.900002,79.029999,68.947998,336800
2018-07-25,79.089996,79.769997,79.059998,79.730003,69.558708,354300
2018-07-26,79.800003,79.800003,79.260002,79.470001,69.331863,261100
2018-07-27,79.739998,79.870003,79.400002,79.629997,69.471458,221100
2018-07-30,79.900002,80.160004,79.769997,79.790001,69.611053,305200
2018-07-31,79.180000,79.389999,78.489998,79.279999,69.166107,506200
2018-08-01,79.510002,79.669998,78.970001,79.239998,69.131203,341200
2018-08-02,78.709999,79.459999,78.540001,79.250000,69.139931,324800
2018-08-03,78.709999,79.570000,78.709999,79.480003,69.340591,310300
2018-08-06,79.470001,79.680000,79.339996,79.430000,69.296974,249800
2018-08-07,79.470001,79.970001,78.430000,78.730003,68.686264,510300
2018-08-08,78.809998,79.699997,78.720001,79.470001,69.331863,377600
2018-08-09,79.459999,79.959999,79.459999,79.870003,69.680840,338800
2018-08-10,79.180000,79.449997,78.559998,78.830002,68.773521,557800
2018-08-13,78.610001,79.220001,78.610001,78.989998,68.913101,434500
2018-08-14,79.199997,79.849998,79.199997,79.820000,69.637215,425600
2018-08-15,79.160004,79.349998,78.919998,79.089996,69.000351,481600
2018-08-16,79.349998,79.839996,79.290001,79.669998,69.506363,295800
2018-08-17,79.949997,81.190002,79.879997,81.059998,70.719040,579900
2018-08-20,81.059998,81.389999,80.830002,81.260002,70.893517,331700
2018-08-21,81.500000,81.870003,80.959999,81.050003,70.710304,549700
2018-08-22,80.989998,82.129997,80.949997,82.080002,71.608917,408200
2018-08-23,81.870003,81.870003,81.120003,81.209999,70.849892,699200
2018-08-24,81.519997,81.779999,81.239998,81.449997,71.059273,371600
2018-08-27,81.699997,82.110001,81.589996,81.970001,71.512932,449500
2018-08-28,82.500000,83.029999,81.830002,82.150002,71.669975,529600
2018-08-29,82.860001,83.410004,82.269997,83.129997,72.524940,886400
2018-08-30,82.669998,83.169998,82.540001,82.949997,72.367920,711200
2018-08-31,82.379997,82.379997,81.629997,81.959999,71.504211,699100
2018-09-04,81.440002,81.470001,80.580002,81.410004,71.024376,716300
2018-09-05,81.400002,81.930000,81.309998,81.820000,71.382072,645800
2018-09-06,81.750000,82.099998,81.190002,82.070000,71.600166,608500
2018-09-07,82.040001,82.040001,81.290001,81.660004,71.242485,562400
2018-09-10,81.660004,82.029999,81.400002,81.419998,71.033096,512600
2018-09-11,81.430000,81.730003,81.250000,81.699997,71.277374,470500
2018-09-12,81.900002,81.930000,81.489998,81.650002,71.233757,593200
2018-09-13,81.750000,81.910004,81.129997,81.279999,70.910957,923000
2018-09-14,81.360001,81.760002,81.099998,81.629997,71.216309,417600
2018-09-17,81.330002,82.080002,81.330002,81.949997,71.495491,323800
2018-09-18,82.129997,82.839996,81.980003,82.750000,72.193428,291600
2018-09-19,82.750000,83.230003,82.709999,83.089996,72.490044,519000
2018-09-20,83.529999,83.699997,83.269997,83.410004,72.769249,472600
2018-09-21,83.470001,84.360001,83.419998,83.809998,73.118202,548100
2018-09-24,84.000000,84.230003,83.580002,83.660004,72.987343,370200
2018-09-25,83.769997,84.139999,83.419998,83.440002,72.795410,512400
2018-09-26,83.199997,83.470001,82.779999,82.860001,72.289398,437800
2018-09-27,82.980003,83.250000,82.680000,82.760002,72.202164,288500
2018-09-28,82.550003,82.900002,82.309998,82.529999,72.001511,473700
2018-10-01,83.980003,83.980003,83.070000,83.410004,72.769249,372200
2018-10-02,83.339996,83.339996,82.680000,82.830002,72.263222,521500
2018-10-03,83.250000,83.449997,82.669998,83.040001,72.446434,538900
2018-10-04,83.040001,83.120003,82.209999,82.419998,71.905533,506800
2018-10-05,82.680000,82.680000,81.379997,81.580002,71.172684,572600
2018-10-08,81.430000,81.480003,80.889999,81.330002,70.954575,312400
2018-10-09,81.209999,81.599998,80.739998,81.550003,71.146538,616900
2018-10-10,81.510002,81.510002,80.239998,80.250000,70.012344,1068700
2018-10-11,79.820000,79.949997,79.019997,79.199997,69.096321,1671500
2018-10-12,79.930000,79.930000,78.440002,78.919998,68.852036,1209200
2018-10-15,79.410004,79.720001,78.919998,79.250000,69.139931,1054300
2018-10-16,79.680000,80.269997,79.529999,80.190002,69.960014,840700
2018-10-17,80.139999,80.160004,79.480003,79.989998,69.785530,710100
2018-10-18,79.580002,79.949997,79.180000,79.269997,69.157372,667200
2018-10-19,79.099998,79.589996,78.930000,79.040001,68.956734,912500
2018-10-22,79.260002,79.260002,78.419998,78.550003,68.529228,801500
2018-10-23,77.860001,78.599998,77.360001,78.360001,68.363472,956300
2018-10-24,78.190002,78.250000,76.260002,76.330002,66.592438,1071100
2018-10-25,76.779999,76.919998,76.059998,76.269997,66.540100,946600
2018-10-26,75.500000,75.750000,74.660004,75.529999,65.894501,1023600
2018-10-29,75.940002,76.080002,74.089996,74.419998,64.926102,907400
2018-10-30,74.660004,75.610001,74.389999,75.519997,65.885773,1039700
2018-10-31,75.309998,75.570000,74.680000,74.739998,65.843491,886700
2018-11-01,75.309998,75.489998,74.930000,75.279999,66.319206,694900
2018-11-02,75.690002,76.150002,74.919998,75.129997,66.187065,736100
2018-11-05,75.309998,75.769997,75.220001,75.519997,66.530640,480300
2018-11-06,75.250000,75.820000,74.550003,75.739998,66.724464,748700
2018-11-07,76.339996,76.339996,75.559998,75.730003,66.715645,560200
2018-11-08,75.629997,76.019997,75.300003,75.570000,66.574684,458200
2018-11-09,75.389999,75.620003,74.489998,74.830002,65.922775,521000
2018-11-12,74.730003,74.790001,74.349998,74.529999,65.658485,536200
2018-11-13,74.730003,75.349998,74.620003,74.769997,65.869919,555600
2018-11-14,75.250000,75.489998,74.279999,74.760002,65.861115,751000
2018-11-15,74.419998,75.610001,74.320000,75.410004,66.433746,853200
2018-11-16,75.199997,75.449997,74.889999,75.300003,66.336838,511500
2018-11-19,75.080002,75.260002,73.900002,74.309998,65.464676,832100
2018-11-20,73.550003,73.800003,72.529999,72.739998,64.081543,758800
2018-11-21,72.900002,74.750000,72.839996,73.830002,65.041801,832000
2018-11-23,73.480003,73.779999,73.260002,73.480003,64.733475,322800
2018-11-26,74.389999,74.620003,73.459999,73.510002,64.759895,565200
2018-11-27,73.360001,73.760002,72.830002,73.750000,64.971329,710700
2018-11-28,73.940002,75.389999,73.769997,75.180000,66.231125,822700
2018-11-29,75.080002,75.419998,74.519997,74.760002,65.861115,533000
2018-11-30,74.570000,74.610001,73.860001,74.500000,65.632050,586700
2018-12-03,75.650002,75.809998,74.500000,74.879997,65.966827,625600
2018-12-04,74.330002,74.660004,71.809998,71.839996,63.288681,1183600
2018-12-06,69.779999,70.459999,69.010002,70.230003,61.870338,1661100
